date,open,high,low,close,volume
2019-06-25,8180,8230,8170,8200,1679316
2019-06-24,8220,8230,8080,8120,1866158
2019-06-21,8100,8230,8090,8180,4280468
2019-06-20,8040,8070,7990,8040,1118213
2019-06-19,8000,8050,7970,8020,1792766
2019-06-18,7940,8030,7930,7950,1532942
2019-06-17,7980,8010,7920,7960,1388710
2019-06-14,8000,8030,7920,7980,1827241
2019-06-13,7930,8030,7880,7980,2420788
2019-06-12,7830,7970,7800,7940,2537442
2019-06-11,7800,7810,7730,7800,1389844
2019-06-10,7830,7860,7680,7800,1946708
2019-06-07,7810,7830,7600,7780,2517340
2019-06-05,7920,7930,7810,7820,1436842
2019-06-04,7850,7930,7770,7800,1823377
2019-06-03,7850,7850,7700,7800,1858329
2019-05-31,7540,7880,7470,7850,3709090
2019-05-30,7480,7590,7450,7550,1645748
2019-05-29,7590,7630,7420,7480,2021525
2019-05-28,7630,7660,7560,7600,2091746
2019-05-27,7600,7670,7530,7620,1404498
2019-05-24,7630,7710,7530,7600,1573208
2019-05-23,7600,7740,7510,7700,2649691
2019-05-22,7650,7700,7570,7620,1693276
2019-05-21,7560,7700,7520,7630,2456672
2019-05-20,7670,7750,7480,7550,2741359
2019-05-17,7400,7820,7350,7650,5158946
2019-05-16,7910,7930,7720,7770,2678965
2019-05-15,7850,7940,7790,7940,2812719
2019-05-14,7720,7920,7640,7810,3094001
2019-05-13,8090,8140,7800,7820,4188794
2019-05-10,8030,8160,8000,8110,3685704
2019-05-09,8250,8300,8020,8020,5706228
2019-05-08,8240,8380,8160,8240,3819743
2019-05-07,8250,8370,8120,8330,13320222
2019-05-03,8530,8650,8440,8540,4378116
2019-05-02,8190,8640,8060,8520,7069599
2019-04-30,8420,8430,8200,8220,3829462
2019-04-29,8330,8390,8200,8390,2185689
2019-04-26,8100,8300,8100,8270,2698389
2019-04-25,8200,8210,8100,8140,2485540
2019-04-24,8350,8360,8110,8150,5972102
2019-04-23,8750,8840,8310,8330,11521731
2019-04-22,8420,8430,8230,8320,3423433
2019-04-19,8550,8590,8390,8420,2781160
2019-04-18,8740,8850,8500,8530,2903457
2019-04-17,8830,8830,8670,8730,2418979
2019-04-16,8760,8880,8650,8830,2305504
2019-04-15,8970,8970,8740,8800,2629029
2019-04-12,8950,8990,8850,8980,2520784
2019-04-11,8820,8970,8800,8930,4047627
2019-04-10,8790,8820,8700,8800,1845268
2019-04-09,8640,8840,8550,8790,3368042
2019-04-08,8750,8800,8550,8590,1986960
2019-04-05,8470,8710,8470,8680,2950250
2019-04-04,8570,8570,8450,8460,1741484
2019-04-03,8430,8560,8400,8520,1474611
2019-04-02,8590,8620,8440,8510,1939295
2019-04-01,8320,8540,8280,8480,2435639
2019-03-29,8170,8280,8090,8260,1909000
2019-03-28,8310,8310,8010,8080,5103255
2019-03-27,8590,8590,8380,8410,2202899
2019-03-26,8600,8640,8500,8530,2451006
2019-03-25,8640,8820,8430,8470,3566874
2019-03-22,8810,8950,8680,8740,2504431
2019-03-21,8870,9030,8820,8850,1885565
2019-03-20,9040,9130,8870,8950,2400099
2019-03-19,9100,9190,9070,9120,1705638
2019-03-18,9210,9210,9030,9060,2220875
2019-03-15,9170,9310,9140,9170,3584423
2019-03-14,9140,9190,9020,9170,3594070
2019-03-13,8990,9150,8910,9090,3319406
2019-03-12,9040,9140,8870,8930,2331067
2019-03-11,8690,8980,8610,8940,2776371
2019-03-08,8860,8920,8650,8700,3731058
2019-03-07,9140,9190,8900,8930,2894698
2019-03-06,9110,9260,9020,9190,2393036
2019-03-05,9100,9180,9050,9160,2021935
2019-03-04,9200,9350,9090,9160,3162130
2019-02-28,9280,9360,9110,9160,2974583
2019-02-27,9130,9300,9100,9240,1989366
2019-02-26,9430,9430,9140,9140,4019169
2019-02-25,9360,9490,9340,9450,3939249
2019-02-22,9380,9400,9240,9300,3523788
2019-02-21,8990,9370,8910,9310,9507133
2019-02-20,8790,9000,8720,8990,3804279
2019-02-19,8830,8920,8750,8770,2034349
2019-02-18,8830,8850,8640,8830,3180122
2019-02-15,8580,8880,8580,8760,4241900
2019-02-14,8690,8780,8360,8610,5691950
2019-02-13,8860,8870,8650,8680,2733501
2019-02-12,8540,8910,8490,8810,6415719
2019-02-11,8480,8590,8340,8560,3721171
2019-02-08,8520,8660,8400,8470,4462939
2019-02-07,8900,8950,8450,8590,7767423
2019-02-01,9040,9050,8750,8870,8024571
2019-01-31,9220,9420,8930,9100,22579819
2019-01-30,8620,8700,8500,8700,5705052
2019-01-29,8530,8650,8390,8560,9627019
2019-01-28,8120,8500,8110,8390,11925826
2019-01-25,7860,8060,7840,7990,3611094
2019-01-24,7920,7940,7820,7880,2279060
2019-01-23,7810,7910,7740,7900,2265157
2019-01-22,7990,8050,7850,7880,2542301
2019-01-21,7660,8090,7660,7970,6898974
2019-01-18,7570,7610,7500,7610,2178427
2019-01-17,7540,7620,7480,7490,2358009
2019-01-16,7600,7620,7480,7500,2009223
2019-01-15,7490,7600,7460,7580,3022352
2019-01-14,7460,7500,7410,7450,1542445
2019-01-11,7490,7580,7420,7460,2728120
2019-01-10,7480,7610,7370,7410,3419135
2019-01-09,7530,7630,7370,7400,3796826
2019-01-08,7760,7770,7420,7460,2671206
2019-01-07,7860,7930,7690,7720,2582066
2019-01-04,7500,7770,7420,7750,3834374
2019-01-03,7250,7590,7250,7500,3072300
2019-01-02,7470,7540,7150,7240,2366382
2018-12-28,7450,7510,7380,7410,1440156
2018-12-27,7330,7530,7270,7440,3184508
2018-12-26,7360,7420,7080,7140,4587872
2018-12-24,7520,7660,7450,7540,2271419
2018-12-21,7570,7620,7390,7620,3779365
2018-12-20,7670,7770,7560,7650,2773044
2018-12-19,7880,7880,7560,7710,4071202
2018-12-18,8020,8030,7840,7900,3467551
2018-12-17,8170,8250,8050,8100,2809803
2018-12-14,8130,8310,8080,8150,8007924
2018-12-13,7580,8160,7540,8110,12004191
2018-12-12,7450,7570,7380,7530,2234537
2018-12-11,7460,7500,7350,7400,1398428
2018-12-10,7340,7540,7320,7450,2004688
2018-12-07,7540,7560,7390,7410,2390437
2018-12-06,7700,7710,7430,7480,2180797
2018-12-05,7560,7730,7500,7720,1973609
2018-12-04,7690,7780,7610,7700,2660218
2018-12-03,7500,7690,7450,7660,3267738
2018-11-30,7460,7550,7400,7420,2526697
2018-11-29,7530,7540,7400,7450,2260861
2018-11-28,7450,7470,7340,7430,2965436
2018-11-27,7460,7510,7300,7430,3209174
2018-11-26,7600,7630,7280,7440,3964070
